date,open,high,low,close,volume
2021-04-12 10:09:00,241.43,242.06,241.1626,242.05,216141.0
2021-04-12 10:08:00,241.85,241.85,241.1813,241.4,161856.0
2021-04-12 10:07:00,242.0501,242.076,241.75,241.87,161833.0
2021-04-12 10:06:00,241.67,242.2899,241.6202,242.075,263803.0
2021-04-12 10:05:00,241.08,241.7,241.08,241.685,149651.0
2021-04-12 10:04:00,241.5,241.8244,241.05,241.07,208533.0
2021-04-12 10:03:00,242.02,242.0988,241.49,241.53,201904.0
2021-04-12 10:02:00,241.633,242.12,241.6001,242.0124,271929.0
2021-04-12 10:01:00,241.58,241.75,241.14,241.66,250055.0
2021-04-12 10:00:00,241.26,241.84,241.26,241.55,290108.0
2021-04-12 09:59:00,241.17,241.3914,241.072,241.24,211729.0
2021-04-12 09:58:00,240.71,241.18,240.68,241.18,249426.0
2021-04-12 09:57:00,240.27,240.75,240.13,240.7,253606.0
2021-04-12 09:56:00,240.3299,240.62,240.1,240.29,295731.0
2021-04-12 09:55:00,240.215,240.4895,240.01,240.31,204489.0
2021-04-12 09:54:00,240.62,240.75,240.18,240.2338,279666.0
2021-04-12 09:53:00,240.65,240.77,240.41,240.624,374922.0
2021-04-12 09:52:00,241.244,241.3397,240.5,240.6549,354550.0
2021-04-12 09:51:00,241.5855,241.81,241.02,241.245,322352.0
2021-04-12 09:50:00,242.18,242.215,241.53,241.5878,297339.0
2021-04-12 09:49:00,242.532,242.7,242.09,242.187,359944.0
2021-04-12 09:48:00,242.12,242.57,241.9,242.48,415431.0
2021-04-12 09:47:00,241.71,242.1899,241.6644,242.1274,464916.0
2021-04-12 09:46:00,240.8199,241.91,240.8,241.677,552290.0
2021-04-12 09:45:00,241.39,241.47,240.73,240.82,410093.0
2021-04-12 09:44:00,241.5,241.6,241.2601,241.3501,517933.0
2021-04-12 09:43:00,241.24,241.69,241.01,241.49,530062.0
2021-04-12 09:42:00,240.45,241.26,240.3762,241.2393,589811.0
2021-04-12 09:41:00,239.89,240.65,239.85,240.44,696273.0
2021-04-12 09:40:00,239.45,239.93,239.43,239.89,463916.0
2021-04-12 09:39:00,238.79,239.64,238.74,239.4501,507795.0
2021-04-12 09:38:00,239.1,239.28,238.58,238.77,516338.0
2021-04-12 09:37:00,237.84,239.14,237.8,239.11,502227.0
2021-04-12 09:36:00,237.83,237.93,237.17,237.83,260177.0
2021-04-12 09:35:00,238.19,238.39,237.47,237.8785,418380.0
2021-04-12 09:34:00,238.96,239.05,238.06,238.19,604674.0
2021-04-12 09:33:00,237.04,238.99,236.65,238.98,627698.0
2021-04-12 09:32:00,237.71,238.34,236.88,237.02,2022835.0
2021-04-12 09:31:00,237.89,238.05,237.6,237.66,84709.0
2021-04-12 09:30:00,238.0,238.19,237.6,237.7,31444.0
2021-04-12 09:29:00,238.2,238.25,238.01,238.01,14931.0
2021-04-12 09:28:00,238.25,238.25,238.0,238.0,12212.0
2021-04-12 09:27:00,238.3,238.39,238.06,238.3,15807.0
2021-04-12 09:26:00,238.4,238.7,238.03,238.03,44088.0
2021-04-12 09:25:00,238.1596,238.4,238.05,238.39,22127.0
2021-04-12 09:24:00,238.12,238.29,238.06,238.12,21108.0
2021-04-12 09:23:00,238.16,238.25,238.0,238.19,17724.0
2021-04-12 09:22:00,238.3,238.4699,238.15,238.3,20669.0
2021-04-12 09:21:00,238.2,238.38,238.2,238.25,15138.0
2021-04-12 09:20:00,238.01,238.34,237.99,238.2,17067.0
2021-04-12 09:19:00,238.0,238.23,237.92,238.01,26884.0
2021-04-12 09:18:00,237.75,238.0,237.7,237.99,9282.0
2021-04-12 09:17:00,237.8,237.83,237.76,237.8,3403.0
2021-04-12 09:16:00,237.65,238.0,237.65,237.9,33368.0
2021-04-12 09:15:00,237.3,237.525,237.3,237.525,4891.0
2021-04-12 09:14:00,237.51,237.52,237.33,237.4999,7515.0
2021-04-12 09:13:00,237.7,237.7,237.5,237.5,7111.0
2021-04-12 09:12:00,237.78,237.8899,237.56,237.58,9630.0
2021-04-12 09:11:00,237.87,237.97,237.8,237.8,10412.0
2021-04-12 09:10:00,237.5,237.87,237.5,237.87,11506.0
2021-04-12 09:09:00,237.45,237.45,237.4,237.4,2585.0
2021-04-12 09:08:00,237.55,237.6,237.4,237.45,6633.0
2021-04-12 09:07:00,237.52,237.6,237.48,237.6,4553.0
2021-04-12 09:06:00,237.34,237.58,237.27,237.58,7010.0
2021-04-12 09:05:00,237.34,237.4,237.25,237.31,9316.0
2021-04-12 09:04:00,237.25,237.4,237.25,237.32,7107.0
2021-04-12 09:03:00,237.266,237.39,237.06,237.38,9949.0
2021-04-12 09:02:00,237.55,238.5413,237.35,237.46,52295.0
2021-04-12 09:01:00,237.65,237.65,237.55,237.55,12224.0
2021-04-12 09:00:00,237.65,237.8,237.62,237.62,5247.0
2021-04-12 08:59:00,237.8,237.8,237.62,237.68,9645.0
2021-04-12 08:58:00,237.5101,237.95,237.51,237.9,13272.0
2021-04-12 08:57:00,237.9,237.9,237.52,237.52,10444.0
2021-04-12 08:56:00,237.9,237.99,237.84,237.84,20543.0
2021-04-12 08:55:00,237.82,237.89,237.81,237.89,7704.0
2021-04-12 08:54:00,237.79,237.9,237.71,237.8104,9322.0
2021-04-12 08:53:00,237.79,237.8899,237.7501,237.88,17685.0
2021-04-12 08:52:00,237.4,237.8,237.4,237.79,23540.0
2021-04-12 08:51:00,237.3,237.37,237.3,237.37,10349.0
2021-04-12 08:50:00,237.3,237.38,237.3,237.38,3356.0
2021-04-12 08:49:00,237.35,237.39,237.3,237.32,2696.0
2021-04-12 08:48:00,237.25,237.4,237.2,237.22,6608.0
2021-04-12 08:47:00,237.31,237.48,237.15,237.25,10614.0
2021-04-12 08:46:00,236.9499,237.4,236.91,237.39,12761.0
2021-04-12 08:45:00,236.93,236.93,236.88,236.92,1791.0
2021-04-12 08:44:00,236.8,237.0,236.8,237.0,5502.0
2021-04-12 08:43:00,236.75,236.84,236.75,236.8,1715.0
2021-04-12 08:42:00,236.8,236.9,236.7012,236.82,2195.0
2021-04-12 08:41:00,236.97,236.97,236.66,236.7,16167.0
2021-04-12 08:40:00,236.97,236.97,236.9,236.95,1458.0
2021-04-12 08:39:00,236.9,237.0,236.85,236.95,4015.0
2021-04-12 08:38:00,236.8899,236.93,236.8,236.93,2715.0
2021-04-12 08:37:00,236.82,236.9899,236.8,236.8,7702.0
2021-04-12 08:36:00,237.15,237.16,236.81,236.81,12820.0
2021-04-12 08:35:00,237.19,237.2,237.15,237.15,4736.0
2021-04-12 08:34:00,237.23,237.23,237.15,237.15,4631.0
2021-04-12 08:33:00,237.15,237.28,237.15,237.27,6094.0
2021-04-12 08:32:00,237.1,237.2,237.0729,237.1201,3789.0
2021-04-12 08:31:00,236.98,237.01,236.9,237.01,3463.0
2021-04-12 08:30:00,237.16,237.17,237.0,237.0,6437.0
2021-04-12 08:29:00,237.1101,237.19,237.11,237.15,3659.0
2021-04-12 08:28:00,237.2,237.2,237.1,237.1,3631.0
2021-04-12 08:27:00,237.19,237.2425,237.13,237.14,4779.0
2021-04-12 08:26:00,237.02,237.25,236.756,237.19,7034.0
2021-04-12 08:25:00,236.75,237.0,236.6,237.0,11718.0
2021-04-12 08:24:00,236.86,236.99,236.6,236.75,17259.0
2021-04-12 08:23:00,237.25,237.35,236.86,236.86,8748.0
2021-04-12 08:22:00,237.44,237.5,237.2,237.2,7096.0
2021-04-12 08:21:00,237.34,237.42,237.2603,237.4,2448.0
2021-04-12 08:20:00,237.23,237.34,237.14,237.34,4440.0
2021-04-12 08:19:00,237.35,237.5,237.2374,237.37,9264.0
2021-04-12 08:18:00,237.5,237.55,237.25,237.4,8953.0
2021-04-12 08:17:00,237.61,237.7129,237.5,237.59,9343.0
2021-04-12 08:16:00,237.29,237.6,237.22,237.6,27527.0
2021-04-12 08:15:00,237.33,237.36,237.1596,237.1596,9919.0
2021-04-12 08:14:00,237.25,237.48,237.25,237.33,10276.0
2021-04-12 08:13:00,237.11,237.35,237.11,237.34,6689.0
2021-04-12 08:12:00,237.25,237.25,237.1,237.11,9919.0
2021-04-12 08:11:00,237.2,237.38,237.12,237.2595,5853.0
2021-04-12 08:10:00,237.03,237.12,236.91,237.12,9675.0
2021-04-12 08:09:00,237.15,237.2,236.87,237.0,22791.0
2021-04-12 08:08:00,236.88,237.11,236.86,237.11,15372.0
2021-04-12 08:07:00,236.82,236.9999,236.82,236.9999,7451.0
2021-04-12 08:06:00,236.9,236.95,236.81,236.9489,3707.0
2021-04-12 08:05:00,237.01,237.1,236.94,237.0,100709.0
2021-04-12 08:04:00,236.75,237.11,236.66,237.0,18430.0
2021-04-12 08:03:00,236.53,236.8987,236.5201,236.81,7234.0
2021-04-12 08:02:00,236.51,236.79,236.5,236.7037,6554.0
2021-04-12 08:01:00,236.83,237.45,235.18,236.5,131798.0
